17463140,7,5000
3245631819,8,5000
2735246778,25,1577
2598162997,27,4783
31536253,50,1674
277894800,53,3879
14419089,57,4873
22330739,62,1398
1679630443,65,2000
357063176,66,1810
61409445,67,1108
3077869279,70,1137
32423136,71,5000
2782486272,76,1993
100475306,79,1232
2604068238,80,5000
14897303,86,1633
185728888,91,5000
2178012643,96,1037
30973,102,5000
2182812798,103,3685
569569550,104,5000
15118418,107,5000
19364978,108,5000
14936846,111,1112
6331462,116,1946
951522626,120,5000
12387072,121,1109
605804404,122,1156
15519565,129,2216
103637045,130,5000
2289618368,133,5000
5943622,134,5000
9078772,135,5000
867394322,144,4959
87279159,148,1195
31964589,153,1683
341870293,154,1053
239505770,159,5000
26818740,168,1161
21424669,178,1656
18985027,180,2974
123468511,184,1274
78299985,192,1017
100322679,196,1272
568175366,201,1005
29398579,205,2967
5052,213,1258
39413716,225,5000
61180382,228,5000
42540916,230,4277
11757522,234,2327
171827285,235,5000
149763,239,1228
46885220,241,5000
253152603,242,2481
2375721396,246,2086
171009315,250,2506
747153,255,1226
14110752,259,1610
3382,260,5000
124767141,265,3514
332012070,269,3252
65796823,273,2452
51717952,279,1188
178248558,282,1360
14471155,283,2913
8167022,284,1515
135227064,288,1620
17193794,289,2582
60642052,302,1482
69279952,306,5000
108698830,307,5000
928219752,309,1679
159203775,310,5000
343739513,311,1072
252792134,312,3654
15407438,313,2781
18783501,315,3087
15234886,317,1025
13566872,320,1790
15105000,330,1119
47840951,346,1715
64482503,354,1201
132702118,363,2045
1713963577,367,1888
97426170,370,5000
300735398,375,2583
15308679,390,3341
335099279,393,1168
19130146,400,1836
1666038950,409,1740
168857946,412,2516
252965572,414,1457
159714480,416,1563
792690,417,1424
2467791,420,1205
15179424,429,1236
14320997,439,3470
79421749,442,1036
35927341,445,5000
305486456,452,5000
49753110,453,5000
17790274,478,5000
41012588,490,5000
5676102,492,5000
15808647,495,3022
24889586,497,2840
276445549,499,2001
13058232,512,1222
127569781,514,4642
74543,533,1749
215155315,536,2022
15818391,546,5000
478727490,547,2053
2029641,550,1421
759251,554,1104
91478624,557,5000
128361193,560,1294
31986700,562,5000
103323813,568,5000
121558178,578,3363
7905122,583,5000
989,589,1153
14328066,591,5000
16399949,596,1585
20404983,598,3824
12,601,1641
195849620,602,1125
14130784,605,1405
14727207,606,1422
83265346,612,5000
14722480,617,1349
381913973,623,2060
18393501,632,2099
2735591,633,3947
972651,636,2829
668473,653,1776
4488,654,1519
11848,655,2285
295,658,2556
1081,660,5000
14600116,662,1588
5702,663,1189
13041,664,3548
2384071,670,1468
18839785,673,1229
20,690,1661
5848002,703,1195
14411797,705,1206
1186,708,3436
28638677,709,1099
14097951,710,3512
14417215,711,1391
61391304,713,5000
18350619,715,3760
11113,718,3314
34561199,720,1291
24277551,722,1765
27629038,723,1860
13010422,724,2871
15033360,729,1247
6446742,731,5000
27260086,742,5000
54653517,756,1296
132703319,764,1011
250175612,773,1080
2139211,784,1070
51263592,805,2086
978,807,1926
23539291,810,1072
260119420,814,2000
20,819,1661
8962882,820,1236
16778949,826,1107
21586418,827,1817
15259642,829,1695
1305940272,839,5000
4265731,841,1904
19766751,842,2628
16459122,843,1152
18337283,844,1077
5510452,849,1450
22655743,851,1231
16369797,852,1999
1979921,853,1730
1337271,857,2492
14167938,861,1245
107146095,865,5000
407933800,871,1225
55854974,874,1310
5507902,877,5000
7993502,878,1700
7694352,882,1004
208435501,885,1222
15433693,886,3720
31191129,888,1452
14706374,889,2001
15101636,890,1963
259446460,892,1223
20611022,895,2173
17852401,897,1992
18839785,899,1229
5869402,900,2479
44471310,907,1327
23760629,909,1256
49413866,914,5000
14216557,917,2470
243013128,922,1176
15517162,923,1661
5045181,924,4187
59517188,936,1782
14129316,938,1150
15856149,939,1213
16896060,942,2700
22344561,948,1161
14066247,949,1198
1643529385,950,1006
8345722,956,1499
2377603003,957,1157
11813582,958,1705
15105000,959,1119
2529971,960,2899
1074544400,961,2441
3452911,962,2233
14161459,963,2714
308025755,964,1216
11739102,967,1578
39838026,971,1146
57963332,975,1178
421683,976,1036
249119776,979,1298
14799978,986,2078
61290495,987,2637
5943622,991,5000
14717846,993,1761
188259731,994,1086
14087951,999,1625
